the,908
and,738
you,459
that,348
king,311
not,282
lear,253
this,236
your,224
thou,219
his,210
have,206
with,206
him,198
kent,175
gloucester,167
thy,161
for,154
thee,139
what,137
edgar,136
but,134
her,132
edmund,131
will,129
are,128
fool,120
our,115
sir,115
all,107
regan,105
shall,99
lord,97
from,94
come,88
good,84
goneril,83
more,81
enter,79
now,79
when,79
man,78
which,78
let,76
cornwall,75
know,75
albany,73
out,73
i'll,71
how,69
